variable,construct,n,missing_n,mean,sd,median,min,max,ci95_low,ci95_high,skew,kurtosis
Attraction_1,Attraction,309,0,3.6537216828478964,0.4899914525650108,4.0,2.0,4.0,3.5988728654265363,3.7085705002692566,-0.8152835349056708,-0.9215542549225479
Attraction_2,Attraction,309,0,3.29126213592233,0.6541238011993014,3.0,1.0,4.0,3.2180406200058127,3.3644836518388472,-0.4528862586760758,-0.3913761422231725
Attraction_3,Attraction,309,0,3.498381877022654,0.5676597862428204,4.0,2.0,4.0,3.434838997223236,3.5619247568220715,-0.5831735414564443,-0.6669354126937663
Attraction_4,Attraction,309,0,3.588996763754045,0.5058187043574055,4.0,2.0,4.0,3.5323762704405883,3.645617257067502,-0.5146817026060263,-1.3704002064183995
Resonance_1,Resonance,309,0,3.585760517799353,0.5190442836946523,4.0,1.0,4.0,3.5276595754238502,3.6438614601748553,-0.7692995092727497,0.20575058105192845
Resonance_2,Resonance,309,0,3.1423948220064726,0.7201520127942036,3.0,2.0,4.0,3.061782219360851,3.2230074246520943,-0.21986702587952298,-1.0507850370115173
Resonance_3,Resonance,309,0,3.598705501618123,0.5104094428522564,4.0,1.0,4.0,3.5415711287742884,3.6558398744619574,-0.7724861224048493,0.19012319513478815
Resonance_4,Resonance,309,0,3.440129449838188,0.5349547705787435,3.0,2.0,4.0,3.380247514374699,3.5000113853016765,-0.14360120630887743,-1.177942934517988
Resonance_5,Resonance,309,0,3.588996763754045,0.5663811672477019,4.0,2.0,4.0,3.5255970104100944,3.652396517097996,-1.0022378281585804,0.008665694749272479
Retention_1,Retention,309,0,3.0550161812297736,0.6498369548734019,3.0,1.0,4.0,2.9822745276663887,3.1277578347931585,-0.19670954366025944,-0.12830632506841022
Retention_2,Retention,309,0,3.1229773462783172,0.6327810726062997,3.0,1.0,4.0,3.0521448994317666,3.193809793124868,-0.18151981445082674,-0.22818709073535004
Retention_3,Retention,309,0,3.2297734627831716,0.6806368392585191,3.0,1.0,4.0,3.153584122068521,3.305962803497822,-0.3845516433428669,-0.5760894495184159
Retention_4,Retention,309,0,2.838187702265372,0.6642772293107315,3.0,1.0,4.0,2.7638296287175543,2.91254577581319,0.05891591717002364,-0.4814977951013768
Retention_5,Retention,309,0,3.355987055016181,0.7181357176208356,3.0,1.0,4.0,3.27560015305422,3.4363739569781426,-0.7021569401112934,-0.5701397934160339
Conversion_1,Conversion,309,0,2.715210355987055,0.5433736347168422,3.0,1.0,4.0,2.6543860270601933,2.7760346849139164,-0.30895390049887356,-0.12668877764664854
Conversion_2,Conversion,309,0,2.4563106796116503,0.6562887444957511,2.0,1.0,4.0,2.3828468235910902,2.5297745356322103,0.9252992473085101,0.03605249608091832
Conversion_3,Conversion,309,0,2.957928802588997,0.47143423896416076,3.0,2.0,4.0,2.905157248383789,3.010700356794205,-0.13527690571218798,1.497448634097374
Conversion_4,Conversion,309,0,2.55663430420712,0.6143809567265507,3.0,1.0,4.0,2.4878615353225766,2.625407073091663,0.2898071013738085,-0.4174323717168176
Conversion_5,Conversion,309,0,2.472491909385113,0.5949358287718158,2.0,1.0,4.0,2.405895795353101,2.5390880234171256,0.47918912399905894,-0.32832580994533256
