dimension,Continent,n,mean,sd,median,ci95_low,ci95_high
Attraction,Africa,40,3.34375,0.48926783342103414,3.5,3.1872745556403657,3.5002254443596343
Attraction,Asia,95,3.4526315789473685,0.5338224474253025,3.75,3.343886390974664,3.561376766920073
Attraction,Europe,83,3.5933734939759034,0.38986951259342967,3.75,3.508243115764338,3.678503872187469
Attraction,North America,51,3.372549019607843,0.3917031689289986,3.5,3.262380728058975,3.482717311156711
Attraction,South America,40,3.8,0.227866357593825,3.875,3.7271248033826447,3.872875196617355
Resonance,Africa,40,3.37,0.5273056817930962,3.6,3.2013594615550147,3.5386405384449855
Resonance,Asia,95,3.416842105263158,0.45724722852688865,3.6,3.323696086290038,3.509988124236278
Resonance,Europe,83,3.4891566265060243,0.38414048757369845,3.6,3.405277215736024,3.5730360372760246
Resonance,North America,51,3.4823529411764715,0.41410427785906356,3.6,3.365884236214117,3.598821646138826
Resonance,South America,40,3.65,0.358772837207541,3.8,3.5352588801236258,3.764741119876374
Retention,Africa,40,3.105,0.5491018307316234,3.2,2.9293887149464797,3.2806112850535203
Retention,Asia,95,3.1326315789473687,0.5336430604940327,3.4,3.0239229339594242,3.241340223935313
Retention,Europe,83,3.014457831325301,0.5723576679222405,3.0,2.889480054996014,3.1394356076545886
Retention,North America,51,3.2392156862745094,0.48335429298705895,3.4,3.1032701007006342,3.3751612718483845
Retention,South America,40,3.175,0.549475274168981,3.2,2.9992692819410536,3.350730718058946
Conversion,Africa,40,2.65,0.4500712194354384,2.6,2.5060602409477446,2.7939397590522552
Conversion,Asia,95,2.614736842105263,0.42300053343677224,2.6,2.528567231323632,2.700906452886894
Conversion,Europe,83,2.628915662650602,0.44626638672705493,2.6,2.5314706841179997,2.7263606411832044
Conversion,North America,51,2.5647058823529414,0.4093035692059206,2.6,2.449587398457184,2.679824366248699
Conversion,South America,40,2.745,0.502276867157996,2.6,2.584364064809715,2.9056359351902854
