item,intended_construct,kmo
Attraction_1,Attraction,0.7354219732932263
Attraction_2,Attraction,0.8040484075713721
Attraction_3,Attraction,0.8649555980203351
Attraction_4,Attraction,0.7073805520182479
Resonance_1,Resonance,0.6980174142398753
Resonance_2,Resonance,0.8543840204187252
Resonance_3,Resonance,0.8049334380284928
Resonance_4,Resonance,0.7830850802018028
Resonance_5,Resonance,0.7541223293409683
Retention_1,Retention,0.7221658895961891
Retention_2,Retention,0.4917071283356528
Retention_3,Retention,0.7090023015241994
Retention_4,Retention,0.8179075631172898
Retention_5,Retention,0.7236135167286178
Conversion_1,Conversion,0.8420001338701593
Conversion_2,Conversion,0.7958576346033
Conversion_3,Conversion,0.8684224500252021
Conversion_4,Conversion,0.8213452653055193
Conversion_5,Conversion,0.8269549879193442
