factor_number,actual_eigenvalue,permutation_mean_eigenvalue,permutation_p95_eigenvalue,retain_by_parallel_p95,retain_by_kaiser_gt1
1,4.659355171024684,1.4644480112937033,1.5512563479735422,True,True
2,2.9273049151920416,1.375219842803883,1.4362663730828458,True,True
3,2.416873778789591,1.3077557321188131,1.3581444058463374,True,True
4,2.104609280665985,1.2487850090579038,1.2913088318036243,True,True
5,1.0470204121751086,1.1982016481257203,1.2396856353849048,False,True
6,0.8343943692100017,1.1516012526259436,1.1908389573981009,False,False
7,0.6454032575648253,1.1062241103984134,1.1438667116498547,False,False
8,0.6060126688168516,1.0638748615765274,1.0994863687395164,False,False
9,0.5826241800300639,1.021865604974624,1.05626444943955,False,False
10,0.5131205148116187,0.9828312682579478,1.0157471661817157,False,False
11,0.48108379934469914,0.9429722765097819,0.9761247429616303,False,False
12,0.4307337055777734,0.9048784636433479,0.9377833497744789,False,False
13,0.40725051174227955,0.867168448106677,0.9009135745526692,False,False
14,0.360507908346056,0.8290739237717257,0.8649041180519009,False,False
15,0.3345552159529643,0.79107182707175,0.8246807418322809,False,False
16,0.21377720159674796,0.752499549808388,0.7870806372552052,False,False
17,0.20055301998419195,0.7119140947255636,0.7485916861729814,False,False
18,0.12903874560790315,0.6668865463021427,0.7068991633810642,False,False
19,0.1057813435666057,0.6127275288271439,0.6592053588116409,False,False
